,project_owner,restriction,basic_price,bidding_month,mean_target_rate,std_target_rate,count_bidding,target_rate,winner_rate
9309,전라남도 함평군,함평,78384000,6,99.82861,0.944158750952401,17,98.9618,99.3841
9310,한국철도공사 회계통합센터,전남,108665000,6,98.18659390804598,0.767695587008584,87,97.96079,97.9733
9311,한국전력공사 광주전남지역본부,구례,66077832,6,96.69280037704918,1.6338787467027003,610,97.05299000000001,98.5322
9312,전라남도,전남,63426000,6,99.85397968749999,0.7971475773737295,32,98.94731,98.9571
9313,전라남도 순천시,순천,31420000,6,99.75517922413793,0.6864608151686465,116,100.25159000000001,100.2603
9314,전라남도 고흥군,고흥,77880000,6,99.95959019607842,0.777128640075735,51,98.75131,98.8425
9315,국토교통부 익산지방국토관리청 순천국토관리사무소,전남,323000000,6,99.91939933333333,0.4994826057095868,30,100.42527,100.4273
9316,국토교통부 익산지방국토관리청 순천국토관리사무소,전남,310000000,6,99.91016310344824,0.5057097353091543,29,100.18725,100.18799999999999
9317,한국전력공사 광주전남지역본부,전남,345718337,6,96.69426494252875,1.6348210634378022,609,95.80088,95.811
9318,제1989부대,강진/영암/해남,25047000,6,98.46206641025643,0.3574409372005031,39,98.79628000000001,98.8038
9319,해군제3함대사령부,해남,9700000,6,98.47523555555556,0.7386941499888647,9,98.0584,98.2497
9321,제1989부대,광주/무안/순천,36068000,6,98.46206641025643,0.3574409372005031,39,98.1469,98.1522
9322,제1989부대,무안,12490210,6,98.46206641025643,0.3574409372005031,39,98.41895,98.6447
9323,전라남도 여수시,여수,59000000,6,99.99146877551021,0.7923685996035317,98,98.87411,98.876
9324,한국전력공사 광주전남지역본부,전남,224055337,6,96.69700087314662,1.6361931386704947,607,96.65194,96.6539
9325,한국전력공사 광주전남지역본부,전남,458686448,6,96.69700087314662,1.6361931386704947,607,95.07588,95.0771
9326,전라남도교육청 전라남도여수교육지원청,여수,58564000,6,99.9736632,0.7368239280151495,50,98.89206,98.9997
9327,육군상무대근무지원단,전남,67566000,6,98.74104419354839,0.789984612895611,31,98.45361,98.4537
9328,한국전력공사 광주전남지역본부,전남,55302545,6,96.70133191419143,1.634058786185101,606,94.07239,95.5428
9330,한국전력공사 광주전남지역본부,전남,714125845,6,96.70188705785124,1.6353537301558665,605,96.36547,96.3672
9331,전라남도교육청 전라남도함평교육지원청,함평,12881000,6,100.01063142857141,0.7040690522937378,14,100.34081,100.3704
9332,전라남도교육청 전라남도함평교육지원청,함평,32285000,6,100.01063142857141,0.7040690522937378,14,100.29588000000001,100.3356
9333,한국남부발전(주) 하동발전본부,남해/하동/광양,73997000,6,100.49603,,1,95.89923,95.9868
9334,한국수자원공사 영산강보관리단,전남,170500000,6,99.09321,,1,100.21908,100.2192
9335,국토교통부 익산지방국토관리청 순천국토관리사무소,전남,189930000,6,99.8789982142857,0.48580327377221916,28,100.78278,100.792
9336,국토교통부 익산지방국토관리청 순천국토관리사무소,전남,143530000,6,99.8922285185185,0.4898900662998394,27,99.52178,99.5249
9337,국토교통부 익산지방국토관리청 순천국토관리사무소,전남,318770000,6,99.87483307692307,0.4910141761274879,26,100.34451,100.3464
9338,국토교통부 익산지방국토관리청 순천국토관리사무소,전남,321260000,6,99.87865559999999,0.500744255883848,25,99.77927,99.78
9339,국토교통부 익산지방국토관리청 순천국토관리사무소,전남,245350000,6,99.86184875,0.5042598239461459,24,100.28201999999999,100.2833
9340,국토교통부 익산지방국토관리청 순천국토관리사무소,전남,143020000,6,99.85989565217389,0.5155000950870767,23,99.90677,99.91
9341,전라남도 보성군,전남,183898000,6,99.6979178125,0.662780981129267,32,100.78003000000001,100.785
9342,전라남도교육청 전라남도목포교육지원청,목포,25383000,6,99.87017820512823,0.6509028510779717,39,99.5039,99.5073
9344,전라남도 순천시,순천,83710000,6,99.76079113043478,0.6867872614927509,115,99.10981,99.1217
9345,제3171부대,전남,282966000,6,100.88450666666667,0.29630029654614903,3,99.42619,99.4275
9346,국토교통부 익산지방국토관리청 순천국토관리사무소,전남,187330000,6,99.86825363636363,0.5260337021390832,22,99.67602,99.6785
9347,전라남도 해남군,해남,65909000,6,99.77643138888888,0.883778366159922,36,99.41009,99.4988
9348,전라남도교육청 전라남도함평교육지원청,함평,28556000,6,100.02978076923077,0.7290137799390527,13,99.76169,100.0283
9349,한국전력공사 광주전남지역본부,강진,53967679,6,96.70211602649006,1.6366994774299106,604,96.56359,96.6627
9350,전라남도 광양시,광양,25453000,6,99.8760443076923,0.8275665955377266,65,98.8243,98.8963
9351,전라남도 광양시,광양,51061000,6,99.8760443076923,0.8275665955377266,65,100.33078,100.4279
9352,전라남도 나주시,전남,199118000,6,100.042315,0.6241631244856917,32,98.61152,98.6497
9353,한국도로공사 전북본부,대전/충남/전북/전남,257961000,6,99.51808333333334,1.064025796601441,3,99.77025,99.7702
9354,전라남도 신안군,신안,66836000,6,99.76402338461538,0.8737786926034184,65,99.42033,99.4484
9355,전라남도 신안군,신안,54148000,6,99.76402338461538,0.8737786926034184,65,100.54411,100.5838
9356,전라남도 신안군,전남,238667000,6,99.76402338461538,0.8737786926034184,65,98.79227,98.7996
9357,전라남도교육청,전남,447150000,6,99.92402515625,0.7566773944341104,64,99.12876,99.1364
9358,전라남도교육청 전라남도해남교육지원청,해남,15994000,6,99.814960625,0.5565451231238266,16,99.9531,99.9765
9359,한국전력공사 광주전남지역본부,전남,126595509,6,96.66755921135646,1.618510177945874,634,95.01658,95.0451
9361,전라남도 해남군,해남,53438000,6,99.85864209302325,0.8702903750379007,43,99.4843,99.5176
9362,전라남도 해남군,전남,96487000,6,99.85864209302325,0.8702903750379007,43,100.08708,100.0921
9363,한국공항공사 무안지사,전남,115418000,6,99.65701,0.25598679692515475,2,100.51579,100.5158
9364,한국전력공사 광주전남지역본부,전남,751222095,6,96.6708816271722,1.6176250013193392,633,94.56447,94.5784
9365,전라남도교육청 전라남도신안교육지원청,신안,67672000,6,99.86442952380953,0.7136041298120142,21,99.21555,99.2578
