,project_owner,restriction,basic_price,competitors,bidding_month,bidding_quarter,max_target_rate,min_target_rate,mean_target_rate,std_target_rate,count_bidding,target_rate,winner_rate
6971,광주광역시교육청 광주광역시동부교육지원청,광주,7524000,310,12,4Q,101.72215,98.44306,99.92795222222223,0.7532442303499948,72,100.23292,100.2401
6972,광주광역시교육청,광주,197406000,373,12,4Q,101.60028,98.29765,99.83173519230769,0.8548781171204084,52,100.64229,100.6511
6973,광주광역시교육청 광주광역시서부교육지원청,광주,7934000,299,12,4Q,102.0498,98.27328,99.7487011111111,0.7035255901760442,72,100.78365,100.7871
6974,광주광역시교육청 광주광역시동부교육지원청,광주,33825000,403,12,4Q,101.72215,98.44306,99.91340699999999,0.749076426683292,70,101.15594,101.1629
6975,광주광역시교육청 광주광역시동부교육지원청,광주,42592000,408,12,4Q,101.72215,98.44306,99.91340699999999,0.749076426683292,70,99.71813,99.7231
6976,광주광역시교육청 광주광역시서부교육지원청,광주,47399000,404,12,4Q,102.0498,98.27328,99.7487011111111,0.7035255901760442,72,98.96685,98.979
6977,광주광역시교육청,광주,139800000,376,12,4Q,101.57261,98.29765,99.79705784313724,0.8256217919733314,51,101.60028,101.6507
6978,광주광역시교육청 광주광역시동부교육지원청,광주,90013000,377,12,4Q,101.72215,98.44306,99.91636970588235,0.7576601922257066,68,100.15531,100.1672
6979,광주광역시교육청 광주인성고등학교,광주,60220000,409,12,4Q,100.14418,99.89260999999999,100.018395,0.1778868529431105,2,99.30832,99.3087
6980,광주광역시교육청,광주,45395000,408,12,4Q,101.57261,98.29765,99.84322875,0.8173570965725775,48,99.76411999999999,99.7769
6981,광주광역시교육청,광주,28402000,403,12,4Q,101.57261,98.29765,99.84322875,0.8173570965725775,48,99.01881,99.02
6982,광주광역시교육청,광주,87768990,411,12,4Q,101.57261,98.29765,99.84322875,0.8173570965725775,48,98.39204000000001,98.39299999999999
6983,한국환경공단 호남권지역본부,광주,23232000,392,12,4Q,99.99025999999999,99.99025999999999,99.99025999999999,,1,100.11944,100.1199
6984,광주광역시 도시공사,광주,50919000,406,12,4Q,100.66557,99.71700000000001,100.07932428571429,0.3433070661889108,7,99.10710999999999,99.1207
6985,광주과학기술원,광주,28187000,387,12,4Q,100.95727,99.2055,100.10814285714287,0.47889246987074247,14,99.95494000000001,99.958
6986,광주광역시교육청 광주광역시동부교육지원청,광주,116072000,376,12,4Q,101.72215,98.44306,99.91636970588235,0.7576601922257066,68,99.47004,99.4733
6987,한국전력공사 광주전남지역본부,광주,69234671,53,12,4Q,100.86272,93.68841,96.44175795918368,1.4457720574632795,392,99.84697,99.8601
6988,광주광역시 광산구,광주,30822000,407,12,4Q,101.41305,98.81697,100.05773250000001,0.8176981334329537,20,99.90566,99.9079
6989,광주지방조달청,전국/광주,1087217000,372,12,4Q,101.27775,98.6635,99.81331099999998,0.6218741963400309,60,98.9225,98.941
6990,광주광역시교육청 광주광역시서부교육지원청,광주,7579000,305,12,4Q,102.0498,98.27328,99.74750214285714,0.713387648930136,70,99.89576,99.9101
6991,광주광역시교육청 광주광역시서부교육지원청,광주,43270000,412,12,4Q,102.0498,98.27328,99.74750214285714,0.713387648930136,70,99.68557,99.6869
6992,광주광역시 북구,광주,36482000,404,12,4Q,100.67152,98.5015,99.80793105263159,0.6523885203610112,19,101.1324,101.1387
